,Description,Accident Level
290,the employee reports that after carrying out activity in the area of the expedition was to remove the overalls and had contact with material that contaminated the sleeve which caused st degree burn in the right forearm,0
291,the employee as he passed the corner of the front door for not seeing the virdro had a slight swelling in the frontal region due to the closing of the glass door,0
292,in circumstances that the operator was going from level to level he noticed that the hydraulic pump s inspection cover x x kg approx was about to fall so he stopped the equipment activates the cats and climbs up the upper part of the equipment and in moments that accommodated the cover it slides on its middle finger causing the injury,0
293,the lubricating technician alfredo made the oil filling to the reducer d in which he notices an oil leak tearing between the connection of the hose and the reducer correcting the leak once the work is finished he goes to the lubricants workshop where he removes the gloves and observes that both hands are affected by contact with the hot surface and goes to the medical center where he was treated,0
294,in access of level during the installation activity of hydraulic filling pipes of diameter when installing a section m to a height of m with reference to the floor the master of hydraulic filling accident and his partner suffers an attrition of the right hand between the upper edge of the scoop lamp and the roof of the work generating the injury at the time of the accident the employee used his rubber gloves,3
295,in circumstances that the driver of the plate truck w k of the e e impromec went from the garit plant chicrin to nv after entering an internal mine in the area of santa where m approx from the old dining room stops the vehicle and informs the co pilot that he can no longer drive for which he turns off the vehicle and when trying to get off the van loses his balance and falls on his own seat complaining intense pain in the lumbar area citing pain due to overexertion due to routine activity evacuation of residual oil and solid waste cylinders that they previously performed the collaborator at the time of the event used their corresponding epps,0
296,the technician operator when heading towards the zone of lifting containers of dust of zinc in the section uses a space between base of tranquera and sardinel slipping in the edge and rasp ndose left side of thorax he was treated at the medical center with local treatment returning to his work area,0
297,in moments when the staff of the impromec company was heading towards the pique to support shotcrete casting jobs one of the electricians does not identify a lane and water in the road so his right leg enters the gutter of m depth causing the injury the service of the litorina was paralyzed for the entrance of this personnel,0
298,during maintenance of the flyght pump rotor the oil pressure of the the lubrication chamber caused the chamber cover to be projected towards the employee s face striking him superficially on the forehead causing injury,1
299,during the withdrawal of the fixed jaw wedge from the crusher br the hoisting device hook was broken causing the steel cable of the overhead crane to strike the left hand of the employee,3
300,when starting the activity of removing a coil of electric cables in the warehouse with the help of forklift truck the operator did not notice that there was a beehive in it due to the movement of the coil the bees were excited realizing the fact the operator turned off the equipment and left the area people passing by were stung,0
301,during the reduction activity in the tube the employee attached the tube to the walrus and when he hit the tube with the hammer he untied the walrus by reaching his finger,0
302,in the welding workshop of level ex tunnel quinoa in moments that the assistant raised a wooden strut m long x diameter kg of weight to place it on the work table at m of height treads another wooden strut placed on the floor losing the balance falling at the same level lying laterally on a concrete wall causing a bruise on the left shoulder,0
303,in the nv cx south when the mechanic loosens a through bolt of the intermediate cardan protector of the dumper the protector is released and imprisons the first finger of the left hand against the connector of the hydraulic steering cylinder position,3
304,at the end of the unleashing of saturated material on the talus crest of bank the rugged taut rope to leave the work area tension at which moment loose material from the top of the slope crumbles height of m and stool of m projecting a fragment cmx cmx cm gr which rubs the right cheek causing the injury at the time of the event the area was isolated and the collaborator had all the epps corresponding to the activity,0
305,at times when the collaborator was performing the evacuation of inchancables from the mine present in strip of phase he notices a piece of support mesh positioned between the frame and the return belt after several attempts to remove this mesh with the belt in movement and using a metal rake as support the mesh yields moving in the direction of rotation of the return belt hitting the collaborator s hand against the metal structure causing contusion in the left hand at the time of the accident the employee used his leather gloves,0
306,during the activities of revegetation of the slopes of the pit pit ii the employee hitting the sledgehammer on the rods for installation of the lifeline it hit his right leg causing a slight excoriation,0
307,in section in row cell the worker performs anode lifting to correct short circuit using the auxiliary hoist and nylon sling at which time the sling is released from the anode and hits the back of the right hand causing it the injury worker is seen in the medical and transferred to a clinic for external evaluation,3
308,in circumstances that the tipper mv of the ee mceisa moved of the nv to nv the operator sees a congestion of equipment in front of his unit in the ramp at a distance of meters of access to the nv which is why he decides to get off the cab by turning off his vehicle when suddenly he slides off the second rung that is m from the ground hitting the right forearm region against the fender and the same rung,0
309,during the preparation for the solubilization activity of the sample in the chapel the maid when moving the vial of nitric acid the same detached from the doser causing projection in the region of the face and upper limbs,1
310,in circumstances that the worker was walking along the straight line of level step on a rock of approximately cm x cm bending the right ankle which caused the injury described after the event occurred the worker decided not to report the accident because he did not feel pain at p m approximately he begins to feel discomfort when walking and progressive mild pain in the ankle in that moment he communicates the event,0
311,the industrial cleaning worker cristian was performing the cleaning activity of the gutter striking with a walls of the same to remove the solid solution that is formed in that at the moment the operator s hands slide and impact on the edge of the gutter causing a blow on the little finger of the left hand,0
312,the locomotive no operated by maperu personnel was directed with wagons loaded with ore from the op to the waste bin next to the waste bin the patrol car which goes on the back of the wagons the moment it passed over a change of track the left rear wheel of the patrol car leaves the rail advancing the locomotive leaving the patrol car tilted more ahead the assistant motorist who traveled alone in the patrol car remained inside the structure and suffered minor bruises,0
313,during the exchange of the shock bearing housing the employee used a sledgehammer to hit the pipe at this stage of the activity the hammer hit the stepladder that was very close coming to hand tool to be projected onto the left hand thumb which was holding the piece,1
314,when carrying out the activity of cutting electrowelded mesh on the work front the assistant positions his feet on one end of the mesh leaving the other end free at the moment that the assistant bends down to make the cut with the shear the end free of the mesh returns by inertia hitting the partner above his safety lens,0
315,when the plant operator was semi kneeling when lifting the lid or gate kg of the distributor box of the secondary mill no and no his right knee slips due to the presence of debris spilled on the platform or floor grating which gave him an extra effort in his left leg generating a muscle contracture,0
316,the technician was doing the magnetometric survey when he stepped on a thorn his reaction was to immediately retreat losing his balance and so the magnetometer s antenna broke,0
317,at a time when a worker and another partner were preparing to move an oil cylinder gallons on a mobile platform mounted on rails platform weighing approximately kg it is derailed leaves the rail in order to place the platform on the rail both workers lift the platform and in those instants the right hand of one of them is trapped between the rail and the platform structure where it was held metallic tube protruding from the platform this accident caused a bruised wound on the index finger of the right hand there was no fracture at the time of the accident they both wore leather type safety gloves,2
318,when removing the cap from the wear plate of the warman lx bb pump the left hand of the employee who was with the glove slipped came to have contact with the cutting part of the board,0
319,at approximately pm the operator paulo operator of the filters informed the autoclave operator via radio of a leak on the side of the scruber the autoclave iii feed was stopped by the control and officials georli and renato initiated the procedures for closing the autoclave transfer valve for flash tqs soon after there was a break in the chicken projecting pulp hot and reaching three employees who were inside the room near the equipment,3
320,the employee of partner company gr reports that she was cutting watermelon when she injured her nd chirodactilo of the left hand with the knife,1
321,when the mixer of the e c m incimmet s a moved by the positive south ramp with direction to surface unicon concrete plant at the height of the before the operator observes that untimely lights and the engine go off the control controls do not respond and the equipment starts to reverse at meters the operator jumps out of the cabin and at meters the team hits the right gable and turns to its side left in the area in the circumstances of the event there was no presence of personnel or equipment that could have been affected,1
322,in circumstances that the operator performed the lifting of an inch vitaulic pipe this is imprisoned in the structure of the railing of the truck instants that pushes the pipe with the right hand this returns to its initial position hitting the middle finger of the employee causing a bruise,0
323,parking the equipment dumper in the maintenance workshop the mechanic asks the operator to back off the equipment for washing then the operator starts the reverse gear with the cab door fully open upon reaching the washing area meters behind brakes and the cabin door closes untimely and hits your face causing a minor injury in the area was the mechanic at floor level in a safe place,0
324,on at a m when performing the soil activity the collaborator alex used a pickaxe to assist in the opening of the collection hole as he struck the ferranta on the ground he had a fragment of rock projected on his forehead causing a small cut the activity was paralyzed for a few moments and it was not necessary to go to the doctor the employee continued the activities normally,0
325,being am approximately luna master loader of the company incimet was carrying out the loading activity of the front in the cruiser of the level in moments that was tying the pentacord of the crown and trying to reach the fanel on the left side loses balance by a movement of the ladder and falls to the floor resulting in the accident,0
326,due to the accumulation of waelz on the conveyor and trailer of the filter fi the employee performed the cleaning of the shutter using the air lance when he was surprised by the fall of the product that was above the door passing between the neck and the collar of the aramid jacket and causing burn in the neck and shoulder,0
327,after having carried out the mechanized support with the scissor the heavy equipment operator picks up the water supply hose towards the drum of the equipment and while he was heading towards the cabin of the scissor on the way on a piece of rock cm high approx which displaces by sliding his right foot causing the injury described,0
328,in the nv chamber of accumulation of aggregates when the worker made the cast of shotcrete towards the crown of the work at p m he perceives discomfort and fogging of the full face then decides to take it off and chooses to use only his safety glasses for comfort to continue with the thrown shotcrete at p m suffers the projection of shotcrete rebound particles in the left eye,1
329,the convoy of the locomotive operated by mr tito is located in hopper op positioning the st car under the hopper the assistant does not observe anything out of the ordinary dry load there is no presence of water and initiates the chute for this the hydraulic module of the hopper is switched on and with the controls it slightly moves the hopper handle and an untimely flow of water and mud splashes the operator generating the described injury in addition the collaborator was meters from the line of fire,0
330,employee reports that he was monitoring the existence of a borehole of a tubing in the thermal recovery boiler of the ustulation area through the side window when he was struck by projection of heated air that reached his face and right forearm,1
331,during the cleaning of the vertical pipe using the hydrojet equipment high pressure hose the hose returned due to obstruction of the pipe with residue reaching the operator who was actuating the equipment pedal,0
332,being hours on at the end of the concentrate truck cleaning the driver is instructed to close the gate at that moment mr carlos who was in the back of the vehicle reported having an injury to his left hand he is transferred to the medical center for his attention and later evacuation to the clinic,3
333,during the maintenance of the peristaltic pump bp to change the internal hose the rupture tubing of the reserve pump bp ruptured after it started to operate designing solution heated towards the employee reaching his left forearm causing irritation in the skin,0
334,during the maintenance on the lx p b pump there was the projection of silicate pulp reaching the right leg of the employee,0
335,approximately p m in circumstances that shotcrete was launched in the nv bp of the ob b after finishing the launch of the first mixkret the assistant of the alpha mr albertico asks the operator of the mixkret mr jhony to move the mixkret so that access finding in the cockpit of the mixkret the operator of the launcher team mr danon asks him to come down when the team started he noticed that mr danon injured was imprisoned between the team height of the left rear rim and the hastial de la labor,3
336,when it opens the suction valve of the bo acid pump the cable of the same pump comes loose by pressing the th finger of the employee s left hand against the tubing causing a fracture in the distal phalanx photos,2
337,the employee reports that upon initiating rlc front loading activity while performing the emulsion preparation for use there was a displacement of a small rock fragment from the ceiling reaching his left forearm,0
338,employee reports that when returning the anode to the easel the even bumped into the side of the easel coming to swing and hit his right shoulder causing bruise,0
339,being a m in the n in the nv cx the mixkret operator was washing the mixkret with a hose with water under pressure it is necessary to change the location from the right side to the left and he proceeds to pull the hose then slips and feels that the left foot bends,0
340,in circumstances that two workers of the abratech company were doing putty work inside the conditioning tank meters deep and covered by platforms of metal gratings grating in the upper part two other employees of the hyt company carried out maneuvers transfer of a pump with the help of a manual tick which worked hooked to a beam h dragging the pump on the metal gratings grating suddenly the pump is hooked with a metal grate grating and when trying to release it the metal grid grating kg cm x cm falls inside the tank hits a diagonal channel inside the tank and then impacts the right arm of one of the workers and rubs the helmet of the second worker that he was crouching the area where the bomb was being moved was marked with tape and did not have a lookout,0
341,in circumstances where the worker and two partners were placing a killer bomb in the basket of a manitou team the bomb hits the index finger of the right hand against the basket,0
342,while preparing to mount polypropylene tubing the employee pulled the pickup from the truck and positioned it in place pressing the finger between the tube and the concrete wall,1
343,by averaging am at the offices of ajani liliana prepares to store folders in the warehouse to go to the place it comes out of the iglu when going down the two steps it does so diagonally so it sits the left foot on the edge of the second step causing the foot to bend left inward it stabilizes quickly avoiding falling to the ground,0
344,the employee was clearing the pipe when he tapped his right thumb against the flange causing little trauma,0
345,in moments that mr william carried out the inspection of the cut of the block level ob a so that the loading platform could be realized in instants that observed the drills positive radial ones that were covered and shotcreteados he hears a noise from the upper part of the pit detachments of banks at the center of the pit to which mr william goes back to leave work but his metatarsal boots makes contact with a rock that was on the floor which causes it to lose balance and stumble on the gable,0
346,the injured collaborator and one of his colleagues wanted to move a rim of a scoop tire for which using their own strength they threw the rim to the floor to make it roll and in that instant the eyelash hits the fifth finger of the right hand against the ring producing the injury,1
347,when manipulating materials on the master drill truck the operators decide to make space by moving a radiator at that moment the driver of the truck is imprisoned the little finger of the left hand against the bar,0
348,at rp of level in circumstances where the workers of the company were performing the task of diamond drilling the assistants jhonatan injured and nilton were preparing to increase the hq perforation pipe located on the scaffolding mr jhonatan lifts one end of the tube and supports it on the pulley of the equipment frame the other end being on the working scaffolding at the moment that mr nilton lifts the end of the hq pipe that is in the scaffolding to position in the frame the upper part of the pipe comes out of the pulley falling and striking the right hand of the worker jhonatan against bolts that has the lateral part of the same frame causing the injury described,2
349,employee to perform painting of the floor of the fuel tank area he needed cleaning and by pouring water thinner on the floor the bucket slipped out of his hand and the mixture projected onto his left shoulder and lower lip causing redness and burning,0
350,at the intersection of level main road and access to the south ramp the collaborator after having freed the tube inches in diameter from the gable descended holding the pipe on the fourth step of a telescopic aluminum ladder approximately at meters from the floor at which point another clamping point in the gable is lifted by lifting the tube which pulls the worker causing him to lose balance and fall from a height of meters the described injury occurring,0
351,at times when the worker was cleaning the long holes of the production mesh in negative when removing the polyethylene pipe it suffers a clogging inside the drill which product of compressed air pressure is released by ejecting detritus and fragments of rock inside the hole impacting the worker s forehead causing a cut,1
352,at hours mr cesar tello moinsac was carrying out the work of assembling the water line for that he climbs up the cat ladder and at an approximate height of meters he vanishes and falls hitting himself on the way being transferred to the medical center for his attention,3
353,in circumstances that the collaborator juveni performed the washing of the tabolas in the pot washing area she suffers a feeling of dizziness and faintness causing the fall the same level and producing a slight concussion in the head,0
354,during the maintenance work of the vertical pump of zinc concentrate the three mechanics were performing lifting maneuvers to be able to position the pump to the drawer instants in which the pump becomes clogged by the reduced space of the work area and in order to release the pump they place a young lady in the lower part at which time she is released and turns untimely hitting the middle finger of the injured person s right hand against a trellex hose,2
355,the employee was performing cutting activity on a carbon steel pipe attached to the band saw machine due to uneven weight distribution the tube moved downward and the other end was projected upwards pressing the thumb,0
356,during the activity of chuteo of ore in hopper op the operator of the locomotive parks his equipment under the hopper to fill the first car it is at this moment that when it was blowing out to release the load a mud flow suddenly appears with the presence of rock fragments the personnel that was in the direction of the flow was covered with mud,0
357,the employee performing the truck s unloading operation an iron bundle pressed his right finger and injured his left arm,0
358,by manually moving a steel cabinet for disposal with the help of another employee the operator had his finger pressed down between the wall and the cabinet causing injury,2
359,the collaborator moved from the infrastructure office julio to the toilets when the pin of the right shoe is hooked on the bra of the left shoe causing not to take the step and fall untimely causing injury described,0
360,the employee reports that he placed the air lance in the tank and then opened the manual air valve and projection of acid solution heated toward him reaching the front of the left thigh,1
361,being a m approximately in the maintenance workshop of the e e unicon in circumstances that two mechanical technicians placed the protective plate kg of the mixkret fuel tank at the moment of attempting to bolt this protective plate it slips from the hands of one of them falling directly on the instep of the left foot causing the injury described,1
362,the operator cleaned with spatula spear through one of the windows of the boiler at that time by force action hit the window frame causing injury to the little finger of the left hand the operator had all epp for boiler cleaning,0
363,employee was doing cleaning near the area of the pneumatic conveyor when he was hit by a drop of sulfuric acid on his upper lip,0
364,employee reports that he was supervising an activity in the ustulation near the ball when a projection of hot humped dust from the upper floor reached his cervical neck region causing a first degree burn,0
365,when using the griff wrench to unscrew the rod from the probe the key came to move by pressing the employee s finger against the probe,1
366,being approx a m mr denis made the mesh placed in a ventilation plug up a ladder while trying to do a wire tie suddenly had an imbalance due to the manipulation of tools falling from the third step propici ndose a blow in the right knee and a wound of the wrist of the right hand later he was evacuated to the post where he received first aid,0
367,employee reports that when trying to unlock a cathodic sheet with the digger the same did not realize that the blade was pressed so that the cable projected and hit his face,0
368,in moments when the collaborators carried out the inspection of the conveyor belt no from the tail pulley when they were at the height of the load polymer no the maslucan collaborator heard a noise where note that the belt was moving towards the tail pulley fragmentos mineral fragments are projected towards the access of the ramp impacting the collaborators being evacuated to the medical post,0
369,the mechanic assistant after throwing the wooden blocks of support of the stabilizer of the hiab crane truck to the ground when descending from the truck by the access ladder when arriving at the last step jumps towards the ground height of cm treading the edge of one of the wooden blocks cause an injury to the left ankle,0
370,on at p m when performing geological mapping activity the geologist manoel da silva accompanied by the geologists luciano dos santos and dayme had to make the crossing to the other side of a fence barbed wire known in the region as a goat it is a fence that from the base up to about cm in height is made by rods interlaced horizontally and upwards made with little barbed wire barbed around to cm i jumped on the fence and still on the fence i managed to sweep the vegetation with the left foot but even so while supporting the foot on the ground a stump of approximately cm x cm came to break the sole of the boot and cause the perforation in the left foot at the height of the fingers,0
371,in level op the worker performed the chuteo ore from the hopper to the second car perceived a slip of water and mud through the hopper decided to leave the platform and when he was already down the second rung of the ladder of access the water increases and a fragment of rock slides and hits the back of the worker causing it to fall and hit the right forearm and left knee,1
372,when trying to release the pipe hdp pipe m long and diameter stuck in the support mesh the master loader and his assistant pull the pipe to release it when the pipe is released hits the lateral part of the cheekbone and the eyelid worker s right generating the described injury,0
373,on at a m during the activity of collecting soil the collaborator milton ran into a branch and was attacked by maribondos he was bitten twice in the head no pain swelling and no allergic symptoms continued with their activities,0
374,the employee performed the return of the load at the entrance of the debarking machine while trying to align a cathode was pressed in his right hand,0
375,during the activity of chuteo of ore in hopper op the operator of the locomotive parks his equipment under the hopper to fill the first car it is at this moment that when it was blowing out to release the load a mud flow suddenly appears with the presence of rock fragments the personnel that was in the direction of the flow was covered with mud,0
376,during the environmental monitoring activity in the area the employee was surprised by a swarming swarm of weevils during the exit of the place endured suffering two stings being one in the face and the other in the middle finger of the left hand,0
377,when handling a lever to move the sludge the employee moved it by making a pendulum movement and striking his chin,0
378,the collaborator reports that he was on street holding in his left hand the volumetric balloon when he slipped and when placing his hand on the ground the volumetric balloon ended up breaking caused a small wound in his left hand,0
379,being the hrs after the cathode goes through the pre estriping the sheets are detached and bend to the cathode of its position the operator with the assistant lift the cathode by the head to position it in the tranfer at that moment the detached sheet exerts pressure on the cathode hitting the palm of the left hand of the operator with the head and the transfe activity is paralyzed and the collaborator is referred to the medical post by the head of the guard,0
380,the auxiliary of general services i paulo e silva with months and days of work was performing the activity of soil collection during the movement of equipment to the next point holding a lever it encountered a piece of sloping ground and with interlaced vegetation which caused the fall of the to the left the same side where the tool was held the rapid fall prevented the employee from leaning causing a shock of the elbow with the ground the employee continued the activity for another points of sample collection until he felt the arm bothering,0
381,mr marcelo withdrew foam from the ajax oven using the metal spoon to empty it into the foam waste container at that moment splash of slag residues impacting the face and generating a surface burn the worker was wearing a face mask,0
382,at league level access it performed the activity the drill to track the split when on the electrowelded mesh of straightforward meters m m kg weight up to the team s platform the goaltender assistant slips and him feels a pain in the of the right knee,0
383,in store closed while two attendants the removed compartment a rubber mesh for real classification m x m x m kg of weight when lifting object cm to position it against the edge of rampart mesh placed on the wrong incline on a litter wire this imprisons the index finger of the right hand of one of the assistants causing a minor cutting wound at the time of the accident the injured used gloves,0
384,in bypass of level when the workers of the incimet raul operator of bolter bolting team and rolando assistant retired after the support with helical bolt the pink team with a mesh overhanging the gable so the teacher tells his to cut the mesh and the instant the assistant stop the mesh it rises hitting his face make the injury described,0
385,at the el sub station at level when assembling a metal train structure with the support of a lifting mechanism three operators should try to the structure to anchor it on its at this key moment the metallic structure slides in the direction of the injured worker s right hand producing a direct right hook accretion between the head of the bolt and the side of the structure causing the injury at the time of the accident the operators made use of their safety metal gloves,0
386,in plant while doing work on geho pump reducer n when accompanying the rotation of the of the reducer with a mixed key of the wrench crown hits against the motor trapping of the water pump attributing the union area of the fifth and fourth digit of the welder s hand by causing the injury at the time of the accident the equipment was blocked and the employee his leather gloves,0
387,when it making the change of of the vertical as of pump balance two mechanics repeatedly levy a beam in x h m and unitary at each main and being at the height of injured the person s knee from his hands the injury described,0
388,on at last when performing mag activity the employee murilo da silva when in the acquisition line came a small drainage approximately cm wide with small gap as he traversed the drainage the employee rested his right foot on the ravine that break to the causing rest the right ankle to twist then after the twisting the activities were paralyzed and the was rushed to local the hospital where x an ray was read and an independent examination made by the physician no serious was found only a small swelling then released to normal daily activities,0
389,the collaborationist fill out the misalignment of the heads on the left left side of the iron chute of strip no when he gets up he and the head safety with the electric hitting the lenses generating the power,0
390,another team of the vms project performed soil collection on the xix s target with members when the teams were moving from one collection point to another season fabio was up ahead of the team stinging behind robson and manoel da silva near the collection point point were surprised by a swarm of bees that was inside a i play room near the ground with no visibility in the woods and no hissing noise fabio passed by the stump but robson and manoel costa were attacked by the bat fabio had a sting in his left over his and manoel da silva had a prick in his lip as his screen ripped as he tangled in the branches during the escape,0
391,employee testimony reports that by removing the zinc sheet from the cathode circular to look at it to the easel it from his hand or fell and accidentally with his animal foot,0
392,approx half a dozen mr victor at the he time a rapid visual physical review of the scaffolding a blow to the level of the right with auricle the extension of the chute of the chain conveyor,0
393,after completing the process welding on the welding bucket for hours during which he completely used stained chicken paint the welder feels a slight discomfort in the eye so he is transferred to the emergency for during accident the the welder best used facial facial mask for,0
394,the employee reports that he performed his activities routine in the area of contract labor when when asked to position fare something of the sheets on the easel it tally his sleeve and caused a belittled cut in the same and superficially in left the hand,0
395,being approximately a m approximately when positioning the kelly hq towards the rear of the shot frame to align it the adjunct line that is in the same is unmatchable strike the hand little against the generating injury the,0
396,other employee was transiting the grs area when he came to and dislocate after stand a twist in his left knee joint,0
397,on during the sampling in the cemetery of sta the employee rafael and da danillo silva were attacked by a queen bee test they rushed away from the place but the employee carlos rafael took bites both on the chin on one the lower chest one on the neck and one on the hand over the boot the manuel employee took bite one in his arm over his glove and the other in the head and the employee danillo took bites in the left arm over his uniform at no sketched allergy just swell at the sting website the activity was stopped to evaluate the site after verifying that the test had remained in the line they left the site,0
398,being an pm on the level cx in such circumstances that the workers of the company rock performed the of the pin central for the anchoring of the drilling machine diamantina xrd as a cat the assistant cristian injured made the of the of the bolt central with the stilson key no simultaneously jose from the control panel made the movement of the rotation for unit the positioning of the clamp pin at that moment the frame is slid by press the leftover thumb of the s hand against the stilson grip key causing the accident injury due to the lack of securing the frame repair bolts,1
399,being approximately on the scale bp in circumstances that the workers of the company rock performed the anchorage of the central pin for the anchoring of the moving simple machine diamantina xrd bob cat the assistant cristian injured made the adjustment of the crank nut of the fundamental dash with the stilson key no motion simultaneously jose from the control frame made the movement of the top rotation unit for the emplacement of the pin at that same moment the frame is slid by pressing the thumb of the assistant s left hand against the causing the described injury due to the lack of securing the frame fixing bolts,1
400,being approximately pm on the level cx bp in circumstances that the workers of the company had performed the automatic anchorage of the drilling pin for the concrete of the drilling machine diamantina xrd bob cat the assistant cristian made injured the adjustment of the nut of the bolt with the stilson key no at the same time jose from the control panel made the movement of the unit rotation for the positioning of the clamp at that moment the frame is slither by auto pressing the thumb of the assistant s hand against the hole causing the described mechanism chemical reaction due to the lack securing of the frame fixing bolts,1
401,being approximately pm on the level cx is in that circumstances the workers of the company rock a performed the anchorage of the central for the of the machine diamantina xrd bob cat the assistant cristian i made the adjustment of the nut of the central drive bolt with the stilson key no simultaneously jose from the control p panel made the movement of the rotation unit for the positioning of the clamp pin at that moment the frame is slid by pressing the of the assistant s to glove against the stilson causing key the described injury due to the lack of latch securing the frame bolts,1
402,being approximately on the level cx bp in fortune that workers the of the company rock performed the of the central pin for the operation of the drilling machine diamantina xrd bobber cat the assistant cristian injured made the adjustment of the nut of the central bolt with the revolving key simultaneously no jose from the control lever made the movement of the rotation unit for the positioning of the clamp pin at that moment the frame is slid by pressing the thumb of the s left against the locking key causing the injury described imputable to the lack of securing the frame fixing,1
403,being approximately a on the level cx bp in circumstances that the workers of the rock performed the anchorage of the pin for the of anchoring the drilling machine diamantina bob cat the assistant cristian injured made the adjustment of the nut of the central bolt with the stilson key no simultaneously jose from the control panel made the of movement the rotation unit for the positioning of the clamp pin at that the frame is slid by pressing the thumb of the machine s left hand against the stilson key with the injury attributed to the lack of securing the frame fixing bolts,1
404,being pm approximately on the cx bp in fortune that the workers of the local rock performed the anchorage of the central for the quiver of the drilling machine diamantina bob adams the assistant cristian injured made the adjustment of the nut of the central bolt with the stilson key no simultaneously jose from the control panel made motion the of the rotation unit for the positioning of the pin clamp at that moment the frame is slid by the thumb of the assistant s impart against the stilson key causing the described injury due to the lack of securing the frame fixing bolts,1
405,being approximately pm on the level cx bp in that the workers of the company rock performed the anchorage of the central for the anchoring of the drilling machine diamantina bob xrd cat the helper hurt the made adjustment of the nut of the central bolt with the key no simultaneously jose from the control panel made the movement of the rotation unit for the positioning of the clamp pin at that moment the frame is slid by pressing the ovolo of the assistant s left against the stilson key causing the described injury due to the lack of securing the system skeletal fixing bolts,1
406,the employee when the perform adjustment operation of the brand cutter with which he worked was neglected the to slip causing the blade of the to equipment him causing a blunt cut on his,1
407,the employee when performing the adjustment operation of the cutter mechanics with which he worked was neglected the fitting to slip causing the blade of the machine to hit him causing a cut on his right forearm,1
408,the employee when performing the adjustment tighten functioning of the cutter with which he worked was neglected the key to slip causing the blade of the to him a blunt on his right forearm,1
409,the employee perform when the of tightening operation of the cutter with which he worked was leave out paint the to failure causing the leading of the equipment to hit him and causing a penetrating injury on his right,1
410,the employee when now attempt the safety adjustment operation of the blade cutter with which he worked was neglected the key to slip causing the of the equipment to hit causing him a blunt show on his forearm,1
411,the laboratory employee when ab initio the adjustment operation of the blade with which he worked was neglected the key to slip causing the open bottom of the cutting blade to hit him a blunt off on right forearm his,1
412,the employee when properly the adjustment tightening of the cord with which he used often was neglected the key to slip the strap of the equipment to hit him causing a minor on his working right outer forearm,1
413,the employee when performing even the adjustment tightening operation of the cutter the with which he returned was the neglected key florida to over the blade of the to him causing a serious cut on his correct anterior forearm,1
414,by loosening the a s crank bolt using additional cable length and socket with the force exerted in way of the the left bolt suddenly mechanically retired and the employee shoot his left wheel against structure the of the getting equipment,1
415,by loosening the a truck s steering cylinder bolt using power cable and connecting socket with the maximal force later exerted in favor of the production equipment the suddenly and the employee reach his hand against the structure of the equipment causing combat injury,1
416,by loosening the a truck s assembly cylinder using broken cable and socket with the exerted in favor of the equipment the suddenly bolt and retired the employee hit his hand against the structure of the frame causing injury,1
417,by loosening the a truck s and cylinder a cringle power using cable television and with force the maintain in favor of the equipment the retired and employee the his handwriting against the structure of the construction equipment he installed to,1
418,tease by the a s steering t thunderbolt using force and pin and socket with the force in of the associated equipment the bolt was retired and the only employee hit his handwriting against the structure of the causing equipment,1
419,locking by the a truck s column cylinder bolt onto cable and socket with the force exerted favor in of the rear equipment the bolt then and the passenger his injured hand against the frame structure of the equipment causing injury,1
420,by partially loosening the a s truck steering cylinder rear bolt cable power and with the force lost in over half of the the bolt suddenly retired and the employee hit his against the wall of the equipment some injury,1
421,by loosen the a motortruck s steering bolt using direct cable and assisting with the force in case of the equipment the gear bolt became suddenly and the employee hit his hand against the metal structure of the causing injury,1
422,when performing the movement of the wheel to make way clear and place a calibrator mr chuquillanqui pushes the bar with both paw little within it being at moment that pressed the middle ring of the left against the other bar that was,1
423,observing when the sudden movement of the speed to make room and a place calibrator mr border chuquillanqui on the with both hands turning it being at that moment put the middle finger of the left hand against the other bar that was far forward,1
424,perform when the movement of the legal to room the and place a calibrator mr chuquillanqui pushes the drum with both hands sour it being at that speed as the finger middle of the hand against the other bar that was ahead,1
425,when performing the of the bar to ca ca room and place a center bar on chuquillanqui tapped the legal community with hands both turning it being at that same moment placed the smaller middle of finger the left hand hand against the other main bar that was,1
426,when the movement of the stripe to room and a calibrator mr chuquillanqui pushes the bar with both hands turning it being at that moment remand the middle of the hand against the other bar that was beforehand,1
427,when performing the of moving the stick to make and a place a calibrator mr paul chuquillanqui and pushes the tabular array with both turning knees it being at that imprisoned the middle digit of the right hand against the other bar that was in advance,1
428,when following the movement of the bar to give brand room and the place calibrator a then chuquillanqui mr hit the bar with both hand hands turning it being at that present moment and the digit middle of the left hand against the other side that was ahead,1
429,when performing slowly the control of the to make room and by a calibrator mr but chuquillanqui pushes the other bar with both hands with it being at that moment imprisoned the middle finger of the hand left against the other bar that ahead was,1
